date,tmed,tmax,tmin,hrmed,hrmax,hrmin,radmed,radmax,vvmed,vvmax,dvmed,prec,dewpt,dpv
2020-07-13 09:00:00,29.9,30.9,29.0,39.5,43.9,34.5,768.7,845.0,1.3,3.5,47.3,0.0,14.6,2.6
2020-07-13 10:00:00,31.6,32.8,30.8,36.0,39.9,32.2,887.5,929.0,1.4,4.3,44.7,0.0,14.7,3.0
2020-07-13 11:00:00,33.0,34.2,32.1,31.8,35.0,29.1,954.2,978.0,1.7,5.2,39.0,0.0,14.0,3.4
2020-07-13 12:00:00,33.4,33.9,32.7,29.4,32.4,25.4,965.5,974.0,1.9,5.0,61.1,0.0,13.1,3.6
2020-07-13 13:00:00,33.9,34.6,33.4,25.8,28.9,20.9,923.3,958.0,2.1,5.4,53.3,0.0,11.6,3.9
2020-07-13 14:00:00,33.1,33.9,32.3,29.5,32.3,26.9,824.0,883.0,2.4,6.0,58.9,0.0,12.9,3.6
2020-07-13 15:00:00,32.8,33.3,32.4,30.0,31.7,28.0,673.7,758.5,2.0,4.4,49.9,0.0,13.0,3.5
2020-07-13 16:00:00,32.4,33.1,31.7,29.9,33.2,27.4,486.4,582.3,1.6,4.9,75.8,0.0,12.6,3.4
2020-07-13 17:00:00,31.2,32.4,30.6,34.2,35.7,31.3,285.1,382.5,1.3,3.9,118.9,0.0,13.6,3.0
2020-07-13 18:00:00,29.4,30.8,28.2,40.1,43.9,35.3,93.8,184.8,1.6,4.0,63.3,0.0,14.4,2.5
2020-07-13 19:00:00,27.3,28.3,26.2,46.6,51.1,42.6,5.9,25.8,1.2,3.6,50.6,0.0,14.9,1.9
2020-07-13 20:00:00,25.9,26.4,25.4,56.4,60.2,51.0,0.0,0.0,1.0,2.9,61.8,0.0,16.5,1.5
2020-07-13 21:00:00,25.2,25.6,24.9,61.2,64.3,58.9,0.0,0.0,0.7,1.9,59.6,0.0,17.2,1.2
2020-07-13 22:00:00,24.6,25.1,24.0,65.6,67.4,64.0,0.0,0.0,0.4,1.5,78.0,0.0,17.8,1.1
2020-07-13 23:00:00,23.7,24.2,23.4,66.2,68.0,64.7,0.0,0.0,0.3,0.9,187.0,0.0,17.1,1.0
2020-07-14 00:00:00,23.4,23.7,22.9,70.3,73.4,67.9,0.0,0.0,0.2,0.9,218.2,0.0,17.7,0.9
2020-07-14 01:00:00,23.4,23.8,22.9,73.8,75.9,72.2,0.0,0.0,0.1,0.8,198.7,0.0,18.5,0.8
2020-07-14 02:00:00,23.4,23.6,23.1,75.5,76.7,74.6,0.0,0.0,0.1,0.7,212.9,0.0,18.8,0.7
2020-07-14 03:00:00,23.2,23.6,22.8,76.4,77.8,75.6,0.0,0.0,0.1,0.7,188.6,0.0,18.8,0.7
2020-07-14 04:00:00,22.8,23.5,22.4,76.2,78.3,75.2,0.5,6.5,0.1,0.7,192.8,0.0,18.4,0.7
2020-07-14 05:00:00,23.1,23.9,22.7,76.7,77.8,74.3,42.0,118.3,0.1,0.6,190.4,0.0,18.8,0.7
2020-07-14 06:00:00,25.1,26.1,23.8,68.0,74.2,62.9,216.2,318.3,0.4,1.3,300.3,0.0,18.8,1.0
2020-07-14 07:00:00,27.2,28.5,26.0,57.6,63.8,47.8,424.9,554.7,0.6,1.6,2.0,0.0,18.1,1.5
2020-07-14 08:00:00,28.8,29.4,28.0,47.3,50.5,44.5,543.6,694.3,0.8,2.6,84.7,0.0,16.5,2.1
2020-07-14 09:00:00,29.8,30.7,28.9,44.2,47.8,41.0,530.6,888.0,1.0,2.9,19.3,0.0,16.4,2.3
2020-07-14 10:00:00,27.7,29.1,23.9,50.6,75.3,44.9,61.6,172.0,0.9,3.0,31.4,3.0,16.3,1.9
2020-07-14 11:00:00,23.1,23.9,22.7,77.9,80.5,75.1,61.1,174.2,1.1,4.7,64.4,0.9,19.0,0.6
2020-07-14 12:00:00,24.5,26.7,23.4,74.6,80.7,63.0,345.2,705.4,0.5,1.7,27.3,0.0,19.7,0.8
2020-07-14 13:00:00,26.8,27.2,26.4,63.2,68.8,56.0,484.0,862.0,1.1,3.0,68.6,0.0,19.2,1.3
2020-07-14 14:00:00,28.0,29.6,27.1,53.2,59.7,44.5,664.3,869.0,1.1,3.6,109.9,0.0,17.6,1.8
2020-07-14 15:00:00,29.0,29.8,28.3,46.4,50.2,41.3,498.9,858.0,1.1,3.4,138.1,0.0,16.3,2.1
2020-07-14 16:00:00,27.6,28.4,26.6,52.2,56.2,46.4,98.0,234.3,0.9,2.6,59.8,0.0,16.9,1.8
2020-07-14 17:00:00,26.6,26.9,26.2,56.5,59.6,54.7,14.3,19.4,0.6,2.3,84.2,0.0,17.3,1.5
2020-07-14 18:00:00,25.4,26.4,24.6,62.8,69.5,58.2,4.8,8.6,1.7,8.0,151.3,0.1,17.8,1.2
2020-07-14 19:00:00,24.5,25.1,24.0,70.9,75.4,64.4,1.2,6.5,1.4,3.9,45.8,0.0,18.9,0.9
2020-07-14 20:00:00,23.7,24.2,23.3,76.2,79.4,73.0,0.0,0.0,0.5,2.1,43.4,0.0,19.3,0.7
2020-07-14 21:00:00,23.4,23.6,23.2,78.6,79.2,77.5,0.0,0.0,0.5,2.0,188.5,0.0,19.5,0.6
2020-07-14 22:00:00,23.4,24.2,22.9,72.3,78.2,64.3,0.0,0.0,0.8,3.5,125.5,0.0,18.1,0.8
2020-07-14 23:00:00,23.7,24.2,22.9,69.6,73.7,64.8,0.0,0.0,0.5,2.9,347.8,0.0,17.8,0.9
2020-07-15 00:00:00,22.4,23.0,22.0,77.2,79.7,73.6,0.0,0.0,0.2,1.2,131.1,0.0,18.2,0.6
2020-07-15 01:00:00,21.6,22.1,21.1,80.5,81.0,79.6,0.0,0.0,0.3,1.2,183.8,0.0,18.1,0.5
2020-07-15 02:00:00,21.1,21.3,20.9,81.4,81.8,80.6,0.0,0.0,0.3,1.1,192.0,0.0,17.8,0.5
2020-07-15 03:00:00,20.8,21.0,20.5,83.0,84.1,81.6,0.0,0.0,0.3,1.0,193.5,0.0,17.8,0.4
2020-07-15 04:00:00,20.6,20.9,20.5,83.9,84.5,83.3,0.6,6.5,0.3,1.1,187.5,0.0,17.8,0.4
2020-07-15 05:00:00,20.9,21.7,20.5,84.2,84.9,82.4,41.1,109.7,0.1,0.7,184.2,0.0,18.2,0.4
2020-07-15 06:00:00,22.5,23.8,21.7,78.4,82.6,72.5,159.6,365.7,0.4,1.5,270.9,0.0,18.5,0.6
2020-07-15 07:00:00,24.5,25.2,23.4,67.7,72.7,63.8,329.6,531.2,0.4,1.8,3.0,0.0,18.2,1.0
2020-07-15 08:00:00,26.5,27.9,24.5,59.7,66.5,53.5,562.6,808.0,0.6,2.5,31.3,0.0,18.0,1.4
2020-07-15 09:00:00,28.0,29.2,27.1,53.4,56.9,48.3,595.2,1030.0,1.2,3.2,32.3,0.0,17.7,1.8
2020-07-15 10:00:00,29.0,30.5,27.8,45.9,51.8,36.2,715.4,1159.0,1.5,3.8,48.3,0.0,16.1,2.2
2020-07-15 11:00:00,30.5,31.1,30.0,37.6,41.5,33.3,951.0,1079.0,1.6,4.2,59.1,0.0,14.4,2.7
2020-07-15 12:00:00,30.9,31.8,30.0,37.7,42.5,32.9,912.8,1113.0,1.9,5.3,56.9,0.0,14.7,2.8
2020-07-15 13:00:00,31.3,32.0,30.7,33.5,37.1,30.0,935.2,969.0,2.0,5.3,54.7,0.0,13.4,3.0
2020-07-15 14:00:00,32.0,32.7,31.5,30.0,33.7,27.4,834.6,894.0,1.9,4.5,57.1,0.0,12.3,3.3
2020-07-15 15:00:00,31.9,32.5,31.6,29.2,30.9,27.0,699.5,769.3,1.8,4.8,78.5,0.0,11.8,3.3
2020-07-15 16:00:00,31.2,32.3,30.2,31.9,36.2,28.4,515.0,644.6,1.7,4.3,94.3,0.0,12.5,3.1
2020-07-15 17:00:00,29.6,30.3,29.1,36.5,38.8,34.9,294.5,395.4,1.4,4.4,101.9,0.0,13.2,2.6
2020-07-15 18:00:00,28.1,29.5,27.0,39.0,42.5,35.1,105.3,195.6,1.3,4.0,113.3,0.0,12.8,2.3
2020-07-15 19:00:00,26.1,27.0,25.2,46.6,54.7,41.5,5.2,28.0,0.9,3.1,124.8,0.0,13.7,1.8
2020-07-15 20:00:00,24.7,25.3,24.4,57.1,60.3,54.7,0.0,0.0,0.6,2.3,94.0,0.0,15.7,1.3
