,n_viajes
2020-07-01 00:00:00,250.02300000000008
2020-07-01 01:00:00,51.114999999999995
2020-07-01 02:00:00,114.41199999999998
2020-07-01 03:00:00,95.502
2020-07-01 04:00:00,172.297
2020-07-01 05:00:00,396.54600000000016
2020-07-01 06:00:00,561.3180000000002
2020-07-01 07:00:00,863.0949999999999
2020-07-01 08:00:00,889.2029999999997
2020-07-01 09:00:00,884.1179999999998
2020-07-01 10:00:00,1010.7719999999995
2020-07-01 11:00:00,1190.9179999999992
2020-07-01 12:00:00,1199.7299999999993
2020-07-01 13:00:00,1603.8659999999993
2020-07-01 14:00:00,1487.4129999999996
2020-07-01 15:00:00,1171.1059999999993
2020-07-01 16:00:00,884.1359999999999
2020-07-01 17:00:00,913.0699999999998
2020-07-01 18:00:00,1153.9699999999993
2020-07-01 19:00:00,1106.000999999999
2020-07-01 20:00:00,1158.185999999999
2020-07-01 21:00:00,927.9669999999998
2020-07-01 22:00:00,539.9100000000001
2020-07-01 23:00:00,241.40000000000003
2020-07-02 00:00:00,129.854
2020-07-02 01:00:00,160.396
2020-07-02 02:00:00,127.44399999999999
2020-07-02 03:00:00,146.15999999999997
2020-07-02 04:00:00,219.44000000000003
2020-07-02 05:00:00,370.0880000000001
2020-07-02 06:00:00,622.7309999999998
2020-07-02 07:00:00,817.4380000000001
2020-07-02 08:00:00,893.58
2020-07-02 09:00:00,829.7990000000003
2020-07-02 10:00:00,1002.4620000000004
2020-07-02 11:00:00,1180.1660000000008
2020-07-02 12:00:00,1539.5580000000007
2020-07-02 13:00:00,1711.4540000000006
2020-07-02 14:00:00,1850.5100000000011
2020-07-02 15:00:00,1231.9760000000006
2020-07-02 16:00:00,890.7440000000001
2020-07-02 17:00:00,954.3470000000002
2020-07-02 18:00:00,1185.9500000000007
2020-07-02 19:00:00,1134.3360000000005
2020-07-02 20:00:00,1234.093
2020-07-02 21:00:00,971.4270000000006
2020-07-02 22:00:00,509.8790000000001
2020-07-02 23:00:00,195.39000000000001
2020-07-03 00:00:00,310.59
2020-07-03 01:00:00,186.796
2020-07-03 02:00:00,141.71200000000002
2020-07-03 03:00:00,147.245
2020-07-03 04:00:00,181.98500000000007
2020-07-03 05:00:00,362.75799999999987
2020-07-03 06:00:00,500.22699999999986
2020-07-03 07:00:00,659.6479999999998
2020-07-03 08:00:00,684.0809999999998
2020-07-03 09:00:00,779.8039999999999
2020-07-03 10:00:00,1003.5479999999998
2020-07-03 11:00:00,1138.9830000000006
2020-07-03 12:00:00,1469.4839999999997
2020-07-03 13:00:00,1601.4379999999994
2020-07-03 14:00:00,1935.0249999999987
2020-07-03 15:00:00,1269.9969999999994
2020-07-03 16:00:00,927.6399999999995
2020-07-03 17:00:00,1124.5529999999997
2020-07-03 18:00:00,1506.711
2020-07-03 19:00:00,1744.8539999999996
2020-07-03 20:00:00,1389.1369999999997
2020-07-03 21:00:00,1174.076
2020-07-03 22:00:00,658.0699999999998
2020-07-03 23:00:00,156.23800000000006
2020-07-04 00:00:00,371.4020000000001
2020-07-04 01:00:00,328.87999999999994
2020-07-04 02:00:00,207.929
2020-07-04 03:00:00,214.463
2020-07-04 04:00:00,196.61999999999998
2020-07-04 05:00:00,264.12199999999996
2020-07-04 06:00:00,341.94699999999995
2020-07-04 07:00:00,415.05499999999995
2020-07-04 08:00:00,429.82599999999974
2020-07-04 09:00:00,897.9450000000006
2020-07-04 10:00:00,1009.9050000000002
2020-07-04 11:00:00,1471.0759999999989
2020-07-04 12:00:00,1487.985
2020-07-04 13:00:00,1028.68
2020-07-04 14:00:00,804.778
2020-07-04 15:00:00,696.2410000000002
2020-07-04 16:00:00,547.207
2020-07-04 17:00:00,606.721
2020-07-04 18:00:00,689.1580000000002
2020-07-04 19:00:00,738.3090000000002
2020-07-04 20:00:00,541.0920000000001
2020-07-04 21:00:00,755.28
2020-07-04 22:00:00,667.169
2020-07-04 23:00:00,319.3809999999999
2020-07-05 00:00:00,402.9899999999999
2020-07-05 01:00:00,352.136
2020-07-05 02:00:00,198.599
2020-07-05 03:00:00,191.67
2020-07-05 04:00:00,102.273
2020-07-05 05:00:00,250.86599999999996
2020-07-05 06:00:00,247.43300000000005
2020-07-05 07:00:00,214.83599999999998
2020-07-05 08:00:00,318.948
2020-07-05 09:00:00,588.1480000000003
2020-07-05 10:00:00,791.1989999999998
2020-07-05 11:00:00,851.4339999999993
2020-07-05 12:00:00,950.2129999999999
2020-07-05 13:00:00,706.0980000000001
2020-07-05 14:00:00,602.42
2020-07-05 15:00:00,328.4889999999999
2020-07-05 16:00:00,342.77099999999996
2020-07-05 17:00:00,356.69200000000006
2020-07-05 18:00:00,359.5159999999999
2020-07-05 19:00:00,378.68999999999994
2020-07-05 20:00:00,493.87499999999994
2020-07-05 21:00:00,299.40999999999997
2020-07-05 22:00:00,322.10600000000005
2020-07-05 23:00:00,176.393
2020-07-06 00:00:00,172.82899999999998
2020-07-06 01:00:00,301.76000000000005
2020-07-06 02:00:00,109.58200000000001
2020-07-06 03:00:00,108.76000000000002
2020-07-06 04:00:00,202.30100000000002
2020-07-06 05:00:00,431.14799999999997
2020-07-06 06:00:00,586.0139999999998
2020-07-06 07:00:00,763.2519999999995
2020-07-06 08:00:00,763.0419999999997
2020-07-06 09:00:00,738.7149999999992
2020-07-06 10:00:00,802.5979999999997
2020-07-06 11:00:00,1017.9069999999997
2020-07-06 12:00:00,1141.755
2020-07-06 13:00:00,1478.4300000000005
2020-07-06 14:00:00,1356.8229999999996
2020-07-06 15:00:00,1249.4109999999994
2020-07-06 16:00:00,786.0579999999999
2020-07-06 17:00:00,731.7600000000001
2020-07-06 18:00:00,1095.747
2020-07-06 19:00:00,1114.1410000000003
2020-07-06 20:00:00,1395.868
2020-07-06 21:00:00,690.6789999999996
2020-07-06 22:00:00,752.9959999999995
2020-07-06 23:00:00,133.89800000000002
2020-07-07 00:00:00,165.09799999999996
2020-07-07 01:00:00,122.25699999999998
2020-07-07 02:00:00,125.55000000000001
2020-07-07 03:00:00,113.442
2020-07-07 04:00:00,166.87699999999998
2020-07-07 05:00:00,342.83100000000013
2020-07-07 06:00:00,513.7610000000002
2020-07-07 07:00:00,758.3539999999999
2020-07-07 08:00:00,891.7310000000001
2020-07-07 09:00:00,783.8560000000002
2020-07-07 10:00:00,898.056
2020-07-07 11:00:00,1029.1260000000002
2020-07-07 12:00:00,1353.9339999999988
2020-07-07 13:00:00,1466.9299999999994
2020-07-07 14:00:00,1650.8680000000002
2020-07-07 15:00:00,1118.6949999999997
2020-07-07 16:00:00,917.4150000000001
2020-07-07 17:00:00,1021.6499999999999
2020-07-07 18:00:00,1333.6030000000005
2020-07-07 19:00:00,1133.471
2020-07-07 20:00:00,1194.6860000000001
2020-07-07 21:00:00,777.434
2020-07-07 22:00:00,468.406
2020-07-07 23:00:00,251.83800000000002
2020-07-08 00:00:00,260.451
2020-07-08 01:00:00,150.702
2020-07-08 02:00:00,82.31899999999999
2020-07-08 03:00:00,61.249
2020-07-08 04:00:00,162.45000000000005
2020-07-08 05:00:00,362.32500000000016
2020-07-08 06:00:00,427.4880000000001
2020-07-08 07:00:00,745.1900000000003
2020-07-08 08:00:00,943.1900000000002
2020-07-08 09:00:00,807.2490000000003
2020-07-08 10:00:00,835.1959999999999
2020-07-08 11:00:00,1175.419
2020-07-08 12:00:00,1105.165
2020-07-08 13:00:00,1516.3080000000004
2020-07-08 14:00:00,1615.2099999999998
2020-07-08 15:00:00,929.5230000000004
2020-07-08 16:00:00,1024.1790000000005
2020-07-08 17:00:00,980.3950000000002
2020-07-08 18:00:00,1327.9069999999995
2020-07-08 19:00:00,1204.1999999999996
2020-07-08 20:00:00,1312.3169999999996
2020-07-08 21:00:00,833.8480000000003
2020-07-08 22:00:00,515.4250000000001
2020-07-08 23:00:00,278.2680000000001
2020-07-09 00:00:00,285.6819999999999
2020-07-09 01:00:00,189.14399999999998
2020-07-09 02:00:00,165.28400000000002
2020-07-09 03:00:00,118.10900000000001
2020-07-09 04:00:00,231.039
2020-07-09 05:00:00,353.27799999999974
2020-07-09 06:00:00,508.74499999999983
