,n_viajes
2020-07-01 00:00:00,146.68400000000003
2020-07-01 01:00:00,121.872
2020-07-01 02:00:00,89.835
2020-07-01 03:00:00,101.681
2020-07-01 04:00:00,230.137
2020-07-01 05:00:00,469.43599999999986
2020-07-01 06:00:00,887.2659999999997
2020-07-01 07:00:00,1160.1250000000005
2020-07-01 08:00:00,840.7499999999999
2020-07-01 09:00:00,695.9839999999997
2020-07-01 10:00:00,708.1749999999997
2020-07-01 11:00:00,686.4989999999998
2020-07-01 12:00:00,684.7979999999998
2020-07-01 13:00:00,942.631
2020-07-01 14:00:00,849.5099999999996
2020-07-01 15:00:00,704.783
2020-07-01 16:00:00,570.3770000000002
2020-07-01 17:00:00,652.8380000000001
2020-07-01 18:00:00,719.0680000000003
2020-07-01 19:00:00,654.9939999999998
2020-07-01 20:00:00,711.9100000000003
2020-07-01 21:00:00,494.27099999999996
2020-07-01 22:00:00,308.934
2020-07-01 23:00:00,140.388
2020-07-02 00:00:00,111.008
2020-07-02 01:00:00,94.025
2020-07-02 02:00:00,113.83200000000001
2020-07-02 03:00:00,65.399
2020-07-02 04:00:00,152.113
2020-07-02 05:00:00,531.7989999999999
2020-07-02 06:00:00,856.6469999999997
2020-07-02 07:00:00,1048.0219999999993
2020-07-02 08:00:00,926.7279999999997
2020-07-02 09:00:00,808.3999999999995
2020-07-02 10:00:00,657.6489999999999
2020-07-02 11:00:00,716.2180000000001
2020-07-02 12:00:00,756.3319999999997
2020-07-02 13:00:00,1005.816
2020-07-02 14:00:00,920.3679999999997
2020-07-02 15:00:00,619.6279999999998
2020-07-02 16:00:00,514.4699999999998
2020-07-02 17:00:00,613.8649999999998
2020-07-02 18:00:00,734.9739999999997
2020-07-02 19:00:00,695.1119999999999
2020-07-02 20:00:00,680.4489999999997
2020-07-02 21:00:00,539.9679999999998
2020-07-02 22:00:00,317.6729999999999
2020-07-02 23:00:00,237.05900000000003
2020-07-03 00:00:00,136.89799999999997
2020-07-03 01:00:00,81.643
2020-07-03 02:00:00,69.20100000000001
2020-07-03 03:00:00,158.336
2020-07-03 04:00:00,280.00100000000003
2020-07-03 05:00:00,531.5010000000002
2020-07-03 06:00:00,901.8200000000003
2020-07-03 07:00:00,1075.5239999999997
2020-07-03 08:00:00,707.846
2020-07-03 09:00:00,767.3920000000003
2020-07-03 10:00:00,726.1890000000003
2020-07-03 11:00:00,638.528
2020-07-03 12:00:00,869.5190000000003
2020-07-03 13:00:00,987.515
2020-07-03 14:00:00,1015.588
2020-07-03 15:00:00,782.2820000000003
2020-07-03 16:00:00,910.791
2020-07-03 17:00:00,1072.8710000000003
2020-07-03 18:00:00,1064.479
2020-07-03 19:00:00,977.5320000000003
2020-07-03 20:00:00,962.178
2020-07-03 21:00:00,840.2290000000003
2020-07-03 22:00:00,573.2200000000001
2020-07-03 23:00:00,137.26200000000003
2020-07-04 00:00:00,166.002
2020-07-04 01:00:00,145.63100000000003
2020-07-04 02:00:00,112.46899999999998
2020-07-04 03:00:00,74.83
2020-07-04 04:00:00,157.60599999999997
2020-07-04 05:00:00,256.06100000000004
2020-07-04 06:00:00,441.91000000000014
2020-07-04 07:00:00,524.6590000000001
2020-07-04 08:00:00,609.1570000000003
2020-07-04 09:00:00,721.3560000000001
2020-07-04 10:00:00,968.5120000000003
2020-07-04 11:00:00,1245.937
2020-07-04 12:00:00,1075.6060000000002
2020-07-04 13:00:00,951.6260000000003
2020-07-04 14:00:00,696.5090000000001
2020-07-04 15:00:00,576.144
2020-07-04 16:00:00,592.6080000000002
2020-07-04 17:00:00,595.9750000000001
2020-07-04 18:00:00,657.1920000000001
2020-07-04 19:00:00,693.4550000000003
2020-07-04 20:00:00,595.496
2020-07-04 21:00:00,593.0459999999999
2020-07-04 22:00:00,349.356
2020-07-04 23:00:00,104.901
2020-07-05 00:00:00,252.77299999999997
2020-07-05 01:00:00,155.486
2020-07-05 02:00:00,137.833
2020-07-05 03:00:00,77.98
2020-07-05 04:00:00,100.011
2020-07-05 05:00:00,132.79000000000002
2020-07-05 06:00:00,147.064
2020-07-05 07:00:00,259.09599999999995
2020-07-05 08:00:00,363.095
2020-07-05 09:00:00,640.5870000000002
2020-07-05 10:00:00,842.6109999999996
2020-07-05 11:00:00,1105.0729999999996
2020-07-05 12:00:00,1387.6759999999995
2020-07-05 13:00:00,976.193
2020-07-05 14:00:00,527.2410000000001
2020-07-05 15:00:00,418.59500000000014
2020-07-05 16:00:00,396.17400000000015
2020-07-05 17:00:00,340.05699999999996
2020-07-05 18:00:00,430.95200000000017
2020-07-05 19:00:00,396.217
2020-07-05 20:00:00,301.52699999999993
2020-07-05 21:00:00,375.614
2020-07-05 22:00:00,254.47599999999997
2020-07-05 23:00:00,99.775
2020-07-06 00:00:00,187.294
2020-07-06 01:00:00,173.697
2020-07-06 02:00:00,108.158
2020-07-06 03:00:00,165.15900000000005
2020-07-06 04:00:00,158.284
2020-07-06 05:00:00,501.2120000000001
2020-07-06 06:00:00,648.8789999999998
2020-07-06 07:00:00,1065.5559999999996
2020-07-06 08:00:00,775.6819999999997
2020-07-06 09:00:00,764.6429999999998
2020-07-06 10:00:00,519.0509999999999
2020-07-06 11:00:00,552.207
2020-07-06 12:00:00,763.8499999999997
2020-07-06 13:00:00,772.7689999999997
2020-07-06 14:00:00,708.2469999999997
2020-07-06 15:00:00,611.4439999999997
2020-07-06 16:00:00,607.476
2020-07-06 17:00:00,626.114
2020-07-06 18:00:00,720.9419999999999
2020-07-06 19:00:00,670.3230000000002
2020-07-06 20:00:00,563.5269999999998
2020-07-06 21:00:00,564.1170000000002
2020-07-06 22:00:00,300.755
2020-07-06 23:00:00,98.844
2020-07-07 00:00:00,140.489
2020-07-07 01:00:00,155.776
2020-07-07 02:00:00,54.49000000000001
2020-07-07 03:00:00,177.22999999999996
2020-07-07 04:00:00,242.89899999999992
2020-07-07 05:00:00,562.0949999999998
2020-07-07 06:00:00,801.6110000000003
2020-07-07 07:00:00,761.201
2020-07-07 08:00:00,923.221
2020-07-07 09:00:00,791.7629999999998
2020-07-07 10:00:00,672.8700000000001
2020-07-07 11:00:00,599.5189999999999
2020-07-07 12:00:00,812.8639999999999
2020-07-07 13:00:00,1074.3460000000002
2020-07-07 14:00:00,976.25
2020-07-07 15:00:00,683.6060000000002
2020-07-07 16:00:00,658.534
2020-07-07 17:00:00,724.2560000000001
2020-07-07 18:00:00,786.2830000000001
2020-07-07 19:00:00,732.6590000000001
2020-07-07 20:00:00,694.5210000000002
2020-07-07 21:00:00,587.382
2020-07-07 22:00:00,349.949
2020-07-07 23:00:00,120.071
2020-07-08 00:00:00,110.387
2020-07-08 01:00:00,103.524
2020-07-08 02:00:00,89.353
2020-07-08 03:00:00,193.081
2020-07-08 04:00:00,183.408
2020-07-08 05:00:00,538.6769999999998
2020-07-08 06:00:00,833.2720000000006
2020-07-08 07:00:00,986.9900000000006
2020-07-08 08:00:00,734.7640000000001
2020-07-08 09:00:00,595.2430000000003
2020-07-08 10:00:00,638.4760000000002
2020-07-08 11:00:00,567.0609999999998
2020-07-08 12:00:00,718.1410000000004
2020-07-08 13:00:00,879.8470000000003
2020-07-08 14:00:00,665.7380000000004
2020-07-08 15:00:00,601.4040000000002
2020-07-08 16:00:00,746.4110000000003
2020-07-08 17:00:00,728.3480000000002
2020-07-08 18:00:00,770.0900000000007
2020-07-08 19:00:00,884.2740000000003
2020-07-08 20:00:00,588.1070000000002
2020-07-08 21:00:00,438.4620000000001
2020-07-08 22:00:00,281.47599999999994
2020-07-08 23:00:00,102.495
2020-07-09 00:00:00,172.60100000000003
2020-07-09 01:00:00,69.65299999999999
2020-07-09 02:00:00,57.662000000000006
2020-07-09 03:00:00,129.85600000000002
