,n_viajes
2020-07-01 00:00:00,4.007
2020-07-01 01:00:00,
2020-07-01 02:00:00,15.690999999999999
2020-07-01 03:00:00,7.185
2020-07-01 04:00:00,18.112000000000002
2020-07-01 05:00:00,18.19
2020-07-01 06:00:00,48.29599999999999
2020-07-01 07:00:00,164.553
2020-07-01 08:00:00,24.069
2020-07-01 09:00:00,33.021
2020-07-01 10:00:00,4.91
2020-07-01 11:00:00,36.227999999999994
2020-07-01 12:00:00,10.364
2020-07-01 13:00:00,7.069
2020-07-01 14:00:00,8.014
2020-07-01 15:00:00,11.646
2020-07-01 16:00:00,4.91
2020-07-01 17:00:00,5.218999999999999
2020-07-01 18:00:00,5.8
2020-07-01 19:00:00,11.192
2020-07-01 20:00:00,
2020-07-01 21:00:00,16.851999999999997
2020-07-01 22:00:00,
2020-07-01 23:00:00,
2020-07-02 00:00:00,
2020-07-02 01:00:00,10.648
2020-07-02 02:00:00,
2020-07-02 03:00:00,
2020-07-02 04:00:00,
2020-07-02 05:00:00,25.817
2020-07-02 06:00:00,72.132
2020-07-02 07:00:00,114.322
2020-07-02 08:00:00,83.16300000000003
2020-07-02 09:00:00,35.716
2020-07-02 10:00:00,20.911
2020-07-02 11:00:00,8.545
2020-07-02 12:00:00,28.05
2020-07-02 13:00:00,36.024
2020-07-02 14:00:00,14.902999999999999
2020-07-02 15:00:00,24.475
2020-07-02 16:00:00,14.921
2020-07-02 17:00:00,14.921
2020-07-02 18:00:00,10.982999999999999
2020-07-02 19:00:00,13.256
2020-07-02 20:00:00,
2020-07-02 21:00:00,14.302999999999999
2020-07-02 22:00:00,6.59
2020-07-02 23:00:00,
2020-07-03 00:00:00,5.2860000000000005
2020-07-03 01:00:00,10.517000000000001
2020-07-03 02:00:00,
2020-07-03 03:00:00,
2020-07-03 04:00:00,27.583999999999996
2020-07-03 05:00:00,28.379
2020-07-03 06:00:00,82.70000000000002
2020-07-03 07:00:00,91.185
2020-07-03 08:00:00,36.943
2020-07-03 09:00:00,33.199
2020-07-03 10:00:00,22.764
2020-07-03 11:00:00,8.328
2020-07-03 12:00:00,5.525
2020-07-03 13:00:00,11.643
2020-07-03 14:00:00,23.116
2020-07-03 15:00:00,36.51
2020-07-03 16:00:00,16.517
2020-07-03 17:00:00,9.326999999999998
2020-07-03 18:00:00,
2020-07-03 19:00:00,26.157999999999998
2020-07-03 20:00:00,10.325999999999999
2020-07-03 21:00:00,
2020-07-03 22:00:00,
2020-07-03 23:00:00,
2020-07-04 00:00:00,6.1579999999999995
2020-07-04 01:00:00,4.257
2020-07-04 02:00:00,
2020-07-04 03:00:00,
2020-07-04 04:00:00,
2020-07-04 05:00:00,
2020-07-04 06:00:00,8.106
2020-07-04 07:00:00,13.379999999999999
2020-07-04 08:00:00,22.735
2020-07-04 09:00:00,16.037
2020-07-04 10:00:00,12.242999999999999
2020-07-04 11:00:00,5.274
2020-07-04 12:00:00,
2020-07-04 13:00:00,23.133
2020-07-04 14:00:00,10.415
2020-07-04 15:00:00,5.221
2020-07-04 16:00:00,22.015
2020-07-04 17:00:00,15.738999999999999
2020-07-04 18:00:00,
2020-07-04 19:00:00,5.106
2020-07-04 20:00:00,28.258999999999997
2020-07-04 21:00:00,18.900999999999996
2020-07-04 22:00:00,
2020-07-04 23:00:00,
2020-07-05 00:00:00,4.27
2020-07-05 01:00:00,
2020-07-05 02:00:00,2.25
2020-07-05 03:00:00,4.27
2020-07-05 04:00:00,5.153
2020-07-05 05:00:00,
2020-07-05 06:00:00,13.254999999999999
2020-07-05 07:00:00,5.377000000000001
2020-07-05 08:00:00,5.153
2020-07-05 09:00:00,
2020-07-05 10:00:00,12.222000000000001
2020-07-05 11:00:00,5.314
2020-07-05 12:00:00,13.21
2020-07-05 13:00:00,
2020-07-05 14:00:00,10.52
2020-07-05 15:00:00,
2020-07-05 16:00:00,23.56
2020-07-05 17:00:00,21.115
2020-07-05 18:00:00,12.130999999999998
2020-07-05 19:00:00,14.268
2020-07-05 20:00:00,16.652
2020-07-05 21:00:00,15.897
2020-07-05 22:00:00,17.492
2020-07-05 23:00:00,17.272
2020-07-06 00:00:00,7.393
2020-07-06 01:00:00,16.724
2020-07-06 02:00:00,
2020-07-06 03:00:00,31.676
2020-07-06 04:00:00,10.995
2020-07-06 05:00:00,43.166
2020-07-06 06:00:00,47.144999999999996
2020-07-06 07:00:00,124.68
2020-07-06 08:00:00,74.725
2020-07-06 09:00:00,37.817
2020-07-06 10:00:00,37.075
2020-07-06 11:00:00,24.531
2020-07-06 12:00:00,37.373999999999995
2020-07-06 13:00:00,7.261
2020-07-06 14:00:00,6.274
2020-07-06 15:00:00,21.919
2020-07-06 16:00:00,15.168999999999999
2020-07-06 17:00:00,10.504999999999999
2020-07-06 18:00:00,17.258
2020-07-06 19:00:00,15.930000000000001
2020-07-06 20:00:00,10.643
2020-07-06 21:00:00,8.334
2020-07-06 22:00:00,
2020-07-06 23:00:00,
2020-07-07 00:00:00,6.905
2020-07-07 01:00:00,
2020-07-07 02:00:00,6.202999999999999
2020-07-07 03:00:00,3.9019999999999997
2020-07-07 04:00:00,20.314999999999998
2020-07-07 05:00:00,15.408
2020-07-07 06:00:00,47.614999999999995
2020-07-07 07:00:00,134.35699999999997
2020-07-07 08:00:00,64.947
2020-07-07 09:00:00,14.192999999999998
2020-07-07 10:00:00,17.584
2020-07-07 11:00:00,8.754
2020-07-07 12:00:00,22.982999999999997
2020-07-07 13:00:00,14.913
2020-07-07 14:00:00,25.928
2020-07-07 15:00:00,23.437
2020-07-07 16:00:00,25.856
2020-07-07 17:00:00,13.136
2020-07-07 18:00:00,39.263
2020-07-07 19:00:00,21.967
2020-07-07 20:00:00,6.564
2020-07-07 21:00:00,5.439
2020-07-07 22:00:00,7.485
2020-07-07 23:00:00,
2020-07-08 00:00:00,
2020-07-08 01:00:00,
2020-07-08 02:00:00,
2020-07-08 03:00:00,12.552
2020-07-08 04:00:00,23.4
2020-07-08 05:00:00,35.128
2020-07-08 06:00:00,46.782
2020-07-08 07:00:00,88.737
2020-07-08 08:00:00,72.579
2020-07-08 09:00:00,31.790999999999997
2020-07-08 10:00:00,20.406999999999996
2020-07-08 11:00:00,11.091999999999999
2020-07-08 12:00:00,27.153
2020-07-08 13:00:00,15.105999999999998
2020-07-08 14:00:00,6.1339999999999995
2020-07-08 15:00:00,
2020-07-08 16:00:00,29.174
2020-07-08 17:00:00,24.040999999999997
2020-07-08 18:00:00,5.4239999999999995
2020-07-08 19:00:00,16.912999999999997
2020-07-08 20:00:00,21.918
2020-07-08 21:00:00,
2020-07-08 22:00:00,
2020-07-08 23:00:00,
2020-07-09 00:00:00,
2020-07-09 01:00:00,5.412000000000001
2020-07-09 02:00:00,
2020-07-09 03:00:00,
2020-07-09 04:00:00,
2020-07-09 05:00:00,22.256999999999998
2020-07-09 06:00:00,51.022999999999996
2020-07-09 07:00:00,105.57200000000002
2020-07-09 08:00:00,73.608
2020-07-09 09:00:00,41.913
2020-07-09 10:00:00,12.596
