recvTime,n_viajes_x,n_viajes_y,free,tmed,tmax,tmin,hrmed,hrmax,hrmin,radmed,radmax,vvmed,vvmax,dvmed,prec,dewpt,dpv
2020-07-13 10:00:00,1185.5800000000004,1103.213,167.36363636363637,31.6,32.8,30.8,36.0,39.9,32.2,887.5,929.0,1.4,4.3,44.7,0.0,14.7,3.0
2020-07-13 11:00:00,961.9390000000004,974.919,246.1578947368421,33.0,34.2,32.1,31.8,35.0,29.1,954.2,978.0,1.7,5.2,39.0,0.0,14.0,3.4
2020-07-13 12:00:00,892.1950000000006,961.805,351.4659090909091,33.4,33.9,32.7,29.4,32.4,25.4,965.5,974.0,1.9,5.0,61.1,0.0,13.1,3.6
2020-07-13 13:00:00,945.0280000000004,952.358,404.08,33.9,34.6,33.4,25.8,28.9,20.9,923.3,958.0,2.1,5.4,53.3,0.0,11.6,3.9
2020-07-13 14:00:00,1397.2710000000006,987.8599999999996,362.4132379248658,33.1,33.9,32.3,29.5,32.3,26.9,824.0,883.0,2.4,6.0,58.9,0.0,12.9,3.6
2020-07-13 15:00:00,1069.3880000000006,1079.4799999999998,284.3369467028004,32.8,33.3,32.4,30.0,31.7,28.0,673.7,758.5,2.0,4.4,49.9,0.0,13.0,3.5
2020-07-13 16:00:00,1185.3540000000005,985.5499999999996,245.88888888888889,32.4,33.1,31.7,29.9,33.2,27.4,486.4,582.3,1.6,4.9,75.8,0.0,12.6,3.4
2020-07-13 17:00:00,1092.9050000000009,1017.2909999999996,259.8111888111888,31.2,32.4,30.6,34.2,35.7,31.3,285.1,382.5,1.3,3.9,118.9,0.0,13.6,3.0
2020-07-13 18:00:00,1209.5740000000008,1108.043,358.3682983682984,29.4,30.8,28.2,40.1,43.9,35.3,93.8,184.8,1.6,4.0,63.3,0.0,14.4,2.5
2020-07-13 19:00:00,1173.265000000001,915.827,461.3285714285714,27.3,28.3,26.2,46.6,51.1,42.6,5.9,25.8,1.2,3.6,50.6,0.0,14.9,1.9
2020-07-13 20:00:00,894.1980000000003,826.1639999999996,546.8996710526316,25.9,26.4,25.4,56.4,60.2,51.0,0.0,0.0,1.0,2.9,61.8,0.0,16.5,1.5
2020-07-13 21:00:00,613.8560000000002,545.028,570.0595238095239,25.2,25.6,24.9,61.2,64.3,58.9,0.0,0.0,0.7,1.9,59.6,0.0,17.2,1.2
2020-07-13 22:00:00,423.46700000000016,327.04200000000003,581.0714285714286,24.6,25.1,24.0,65.6,67.4,64.0,0.0,0.0,0.4,1.5,78.0,0.0,17.8,1.1
2020-07-13 23:00:00,137.226,120.96299999999998,582.5,23.7,24.2,23.4,66.2,68.0,64.7,0.0,0.0,0.3,0.9,187.0,0.0,17.1,1.0
2020-07-14 00:00:00,232.44900000000004,195.58600000000004,582.0,23.4,23.7,22.9,70.3,73.4,67.9,0.0,0.0,0.2,0.9,218.2,0.0,17.7,0.9
2020-07-14 01:00:00,114.98400000000002,152.482,581.5,23.4,23.8,22.9,73.8,75.9,72.2,0.0,0.0,0.1,0.8,198.7,0.0,18.5,0.8
2020-07-14 02:00:00,109.987,118.37400000000002,582.5,23.4,23.6,23.1,75.5,76.7,74.6,0.0,0.0,0.1,0.7,212.9,0.0,18.8,0.7
2020-07-14 03:00:00,165.03799999999995,138.66,581.8888888888889,23.2,23.6,22.8,76.4,77.8,75.6,0.0,0.0,0.1,0.7,188.6,0.0,18.8,0.7
2020-07-14 04:00:00,153.93400000000003,195.237,580.2333333333333,22.8,23.5,22.4,76.2,78.3,75.2,0.5,6.5,0.1,0.7,192.8,0.0,18.4,0.7
2020-07-14 05:00:00,315.9050000000001,455.098,562.4233870967741,23.1,23.9,22.7,76.7,77.8,74.3,42.0,118.3,0.1,0.6,190.4,0.0,18.8,0.7
2020-07-14 06:00:00,803.0599999999997,892.825,487.58161350844273,25.1,26.1,23.8,68.0,74.2,62.9,216.2,318.3,0.4,1.3,300.3,0.0,18.8,1.0
2020-07-14 07:00:00,1365.5269999999996,1817.451000000001,359.94166666666666,27.2,28.5,26.0,57.6,63.8,47.8,424.9,554.7,0.6,1.6,2.0,0.0,18.1,1.5
2020-07-14 08:00:00,1440.7949999999987,1745.2819999999997,213.47372954349697,28.8,29.4,28.0,47.3,50.5,44.5,543.6,694.3,0.8,2.6,84.7,0.0,16.5,2.1
2020-07-14 09:00:00,1133.4119999999996,1619.536,164.64285714285714,29.8,30.7,28.9,44.2,47.8,41.0,530.6,888.0,1.0,2.9,19.3,0.0,16.4,2.3
2020-07-14 10:00:00,1014.254,1114.226,186.5899470899471,27.7,29.1,23.9,50.6,75.3,44.9,61.6,172.0,0.9,3.0,31.4,3.0,16.3,1.9
2020-07-14 11:00:00,857.1859999999994,1003.1700000000004,262.8758620689655,23.1,23.9,22.7,77.9,80.5,75.1,61.1,174.2,1.1,4.7,64.4,0.9,19.0,0.6
2020-07-14 12:00:00,901.9689999999994,976.828,370.5258823529412,24.5,26.7,23.4,74.6,80.7,63.0,345.2,705.4,0.5,1.7,27.3,0.0,19.7,0.8
2020-07-14 13:00:00,1100.5009999999988,986.594,417.76153846153846,26.8,27.2,26.4,63.2,68.8,56.0,484.0,862.0,1.1,3.0,68.6,0.0,19.2,1.3
2020-07-14 14:00:00,1379.181999999999,881.8440000000005,364.895,28.0,29.6,27.1,53.2,59.7,44.5,664.3,869.0,1.1,3.6,109.9,0.0,17.6,1.8
2020-07-14 15:00:00,1250.0579999999989,1059.7070000000003,269.99401709401707,29.0,29.8,28.3,46.4,50.2,41.3,498.9,858.0,1.1,3.4,138.1,0.0,16.3,2.1
