fecha;hora;tmed;tmax;tmin;hrmed;hrmax;hrmin;radmed;radmax;vvmed;vvmax;dvmed;prec;dewpt;dpv
13/07/20;00:00:00;  23.0; 23.1;  22.7;  74.7; 76.2;  73.7;    0.0;    0.0;    0.6;    1.5;  196.1;   0.0;  18.2;   0.7
13/07/20;01:00:00;  22.6; 22.9;  22.2;  77.2; 79.0;  76.0;    0.0;    0.0;    0.2;    1.0;  197.2;   0.0;  18.4;   0.6
13/07/20;02:00:00;  21.6; 22.2;  21.3;  81.3; 82.9;  79.0;    0.0;    0.0;    0.3;    0.9;  220.9;   0.0;  18.3;   0.5
13/07/20;03:00:00;  21.0; 21.4;  20.6;  82.2; 83.0;  81.5;    0.0;    0.0;    0.3;    1.2;  187.2;   0.0;  17.9;   0.4
13/07/20;04:00:00;  20.8; 21.0;  20.5;  80.7; 82.2;  78.6;    0.4;    6.5;    0.4;    1.3;  188.2;   0.0;  17.3;   0.5
13/07/20;05:00:00;  21.2; 22.7;  20.5;  77.6; 79.4;  75.1;   50.9;  116.2;    0.2;    0.9;  183.1;   0.0;  17.1;   0.6
13/07/20;06:00:00;  24.7; 25.8;  22.6;  67.1; 75.1;  55.5;  210.8;  316.2;    0.2;    1.1;    4.9;   0.0;  18.1;   1.0
13/07/20;07:00:00;  27.0; 28.0;  25.4;  50.3; 57.2;  46.5;  414.1;  511.7;    0.4;    1.4;    7.3;   0.0;  15.7;   1.8
13/07/20;08:00:00;  28.3; 29.3;  27.5;  46.1; 50.9;  41.4;  603.5;  690.0;    0.6;    2.5;   60.4;   0.0;  15.6;   2.1
13/07/20;09:00:00;  29.9; 30.9;  29.0;  39.5; 43.9;  34.5;  768.7;  845.0;    1.3;    3.5;   47.3;   0.0;  14.6;   2.6
13/07/20;10:00:00;  31.6; 32.8;  30.8;  36.0; 39.9;  32.2;  887.5;  929.0;    1.4;    4.3;   44.7;   0.0;  14.7;   3.0
13/07/20;11:00:00;  33.0; 34.2;  32.1;  31.8; 35.0;  29.1;  954.2;  978.0;    1.7;    5.2;   39.0;   0.0;  14.0;   3.4
13/07/20;12:00:00;  33.4; 33.9;  32.7;  29.4; 32.4;  25.4;  965.5;  974.0;    1.9;    5.0;   61.1;   0.0;  13.1;   3.6
13/07/20;13:00:00;  33.9; 34.6;  33.4;  25.8; 28.9;  20.9;  923.3;  958.0;    2.1;    5.4;   53.3;   0.0;  11.6;   3.9
13/07/20;14:00:00;  33.1; 33.9;  32.3;  29.5; 32.3;  26.9;  824.0;  883.0;    2.4;    6.0;   58.9;   0.0;  12.9;   3.6
13/07/20;15:00:00;  32.8; 33.3;  32.4;  30.0; 31.7;  28.0;  673.7;  758.5;    2.0;    4.4;   49.9;   0.0;  13.0;   3.5
13/07/20;16:00:00;  32.4; 33.1;  31.7;  29.9; 33.2;  27.4;  486.4;  582.3;    1.6;    4.9;   75.8;   0.0;  12.6;   3.4
13/07/20;17:00:00;  31.2; 32.4;  30.6;  34.2; 35.7;  31.3;  285.1;  382.5;    1.3;    3.9;  118.9;   0.0;  13.6;   3.0
13/07/20;18:00:00;  29.4; 30.8;  28.2;  40.1; 43.9;  35.3;   93.8;  184.8;    1.6;    4.0;   63.3;   0.0;  14.4;   2.5
13/07/20;19:00:00;  27.3; 28.3;  26.2;  46.6; 51.1;  42.6;    5.9;   25.8;    1.2;    3.6;   50.6;   0.0;  14.9;   1.9
13/07/20;20:00:00;  25.9; 26.4;  25.4;  56.4; 60.2;  51.0;    0.0;    0.0;    1.0;    2.9;   61.8;   0.0;  16.5;   1.5
13/07/20;21:00:00;  25.2; 25.6;  24.9;  61.2; 64.3;  58.9;    0.0;    0.0;    0.7;    1.9;   59.6;   0.0;  17.2;   1.2
13/07/20;22:00:00;  24.6; 25.1;  24.0;  65.6; 67.4;  64.0;    0.0;    0.0;    0.4;    1.5;   78.0;   0.0;  17.8;   1.1
13/07/20;23:00:00;  23.7; 24.2;  23.4;  66.2; 68.0;  64.7;    0.0;    0.0;    0.3;    0.9;  187.0;   0.0;  17.1;   1.0
14/07/20;00:00:00;  23.4; 23.7;  22.9;  70.3; 73.4;  67.9;    0.0;    0.0;    0.2;    0.9;  218.2;   0.0;  17.7;   0.9
14/07/20;01:00:00;  23.4; 23.8;  22.9;  73.8; 75.9;  72.2;    0.0;    0.0;    0.1;    0.8;  198.7;   0.0;  18.5;   0.8
14/07/20;02:00:00;  23.4; 23.6;  23.1;  75.5; 76.7;  74.6;    0.0;    0.0;    0.1;    0.7;  212.9;   0.0;  18.8;   0.7
14/07/20;03:00:00;  23.2; 23.6;  22.8;  76.4; 77.8;  75.6;    0.0;    0.0;    0.1;    0.7;  188.6;   0.0;  18.8;   0.7
14/07/20;04:00:00;  22.8; 23.5;  22.4;  76.2; 78.3;  75.2;    0.5;    6.5;    0.1;    0.7;  192.8;   0.0;  18.4;   0.7
14/07/20;05:00:00;  23.1; 23.9;  22.7;  76.7; 77.8;  74.3;   42.0;  118.3;    0.1;    0.6;  190.4;   0.0;  18.8;   0.7
14/07/20;06:00:00;  25.1; 26.1;  23.8;  68.0; 74.2;  62.9;  216.2;  318.3;    0.4;    1.3;  300.3;   0.0;  18.8;   1.0
14/07/20;07:00:00;  27.2; 28.5;  26.0;  57.6; 63.8;  47.8;  424.9;  554.7;    0.6;    1.6;    2.0;   0.0;  18.1;   1.5
14/07/20;08:00:00;  28.8; 29.4;  28.0;  47.3; 50.5;  44.5;  543.6;  694.3;    0.8;    2.6;   84.7;   0.0;  16.5;   2.1
14/07/20;09:00:00;  29.8; 30.7;  28.9;  44.2; 47.8;  41.0;  530.6;  888.0;    1.0;    2.9;   19.3;   0.0;  16.4;   2.3
