fecha;hora;tmed;tmax;tmin;hrmed;hrmax;hrmin;radmed;radmax;vvmed;vvmax;dvmed;prec;dewpt;dpv
28/09/20;23:00:00;  16.7; 17.3;  16.4;  70.7; 72.5;  68.1;    0.0;    0.0;    0.5;    1.3;  190.6;   0.0;  11.4;   0.6
29/09/20;00:00:00;  16.3; 16.6;  15.8;  71.9; 72.8;  71.4;    0.0;    0.0;    0.4;    1.1;  190.5;   0.0;  11.2;   0.5
29/09/20;01:00:00;  15.6; 16.0;  15.1;  73.7; 75.2;  72.4;    0.0;    0.0;    0.3;    1.2;  194.4;   0.0;  10.9;   0.5
29/09/20;02:00:00;  15.1; 15.3;  14.8;  76.2; 77.4;  74.8;    0.0;    0.0;    0.3;    1.0;  190.8;   0.0;  10.9;   0.4
29/09/20;03:00:00;  15.2; 15.5;  14.8;  75.8; 77.5;  74.7;    0.0;    0.0;    0.3;    1.1;  205.2;   0.0;  11.0;   0.4
29/09/20;04:00:00;  14.9; 15.2;  14.5;  77.7; 79.3;  76.7;    0.0;    0.0;    0.2;    0.7;  206.6;   0.0;  11.0;   0.4
29/09/20;05:00:00;  15.0; 15.5;  14.6;  76.8; 79.1;  75.6;    0.4;    2.2;    0.0;    0.5;  137.0;   0.0;  11.0;   0.4
29/09/20;06:00:00;  15.3; 17.1;  14.5;  76.9; 79.4;  71.3;   55.9;  221.7;    0.2;    0.9;  176.6;   0.0;  11.3;   0.4
29/09/20;07:00:00;  18.4; 19.1;  17.1;  61.3; 71.3;  58.1;  173.6;  305.5;    0.5;    1.6;  318.0;   0.0;  10.8;   0.8
29/09/20;08:00:00;  20.6; 22.3;  19.1;  54.3; 59.3;  50.1;  350.9;  580.8;    0.5;    1.9;  305.5;   0.0;  11.0;   1.1
29/09/20;09:00:00;  23.2; 24.5;  22.1;  50.5; 53.2;  48.8;  628.3;  684.0;    0.6;    1.8;  314.4;   0.0;  12.4;   1.4
29/09/20;10:00:00;  25.5; 26.4;  24.1;  46.2; 50.3;  42.9;  734.6;  776.2;    1.1;    2.9;   24.6;   0.0;  13.1;   1.8
29/09/20;11:00:00;  27.0; 27.8;  26.1;  40.9; 45.2;  38.2;  787.0;  802.0;    1.3;    3.5;   45.9;   0.0;  12.5;   2.1
29/09/20;12:00:00;  27.7; 28.5;  27.2;  35.7; 39.4;  32.7;  790.7;  802.0;    2.0;    5.3;   47.1;   0.0;  11.2;   2.4
29/09/20;13:00:00;  27.9; 29.2;  27.2;  34.9; 37.8;  32.2;  709.3;  769.5;    1.9;    4.7;   55.4;   0.0;  11.0;   2.5
29/09/20;14:00:00;  27.4; 28.1;  26.8;  36.7; 39.1;  34.3;  570.1;  627.6;    2.0;    4.7;   51.8;   0.0;  11.3;   2.3
29/09/20;15:00:00;  26.8; 27.4;  26.3;  39.8; 41.2;  38.0;  411.8;  507.3;    1.6;    5.0;   76.9;   0.0;  12.1;   2.1
29/09/20;16:00:00;  25.8; 26.6;  24.9;  41.7; 43.8;  39.9;  205.3;  316.0;    1.3;    4.1;   90.9;   0.0;  11.8;   1.9
29/09/20;17:00:00;  23.7; 25.1;  22.6;  48.9; 54.4;  43.5;   36.0;  111.8;    1.3;    3.1;   75.3;   0.0;  12.3;   1.5
29/09/20;18:00:00;  21.9; 22.7;  21.3;  57.6; 61.0;  54.4;    0.0;    0.0;    0.6;    2.0;   80.1;   0.0;  13.2;   1.1
29/09/20;19:00:00;  20.5; 21.3;  19.4;  63.8; 67.8;  60.7;    0.0;    0.0;    0.5;    1.4;  160.0;   0.0;  13.4;   0.9
29/09/20;20:00:00;  18.8; 19.5;  18.3;  70.8; 73.6;  67.7;    0.0;    0.0;    0.5;    1.2;  196.0;   0.0;  13.4;   0.6
29/09/20;21:00:00;  18.3; 18.6;  17.9;  74.5; 76.2;  73.3;    0.0;    0.0;    0.4;    1.2;  191.4;   0.0;  13.7;   0.5
29/09/20;22:00:00;  17.5; 18.0;  16.9;  77.9; 79.8;  76.1;    0.0;    0.0;    0.3;    1.1;  189.4;   0.0;  13.6;   0.4
29/09/20;23:00:00;  17.0; 17.3;  16.8;  80.3; 81.2;  79.7;    0.0;    0.0;    0.4;    1.2;  192.2;   0.0;  13.6;   0.4
30/09/20;00:00:00;  16.6; 16.9;  16.4;  82.0; 82.8;  80.9;    0.0;    0.0;    0.2;    1.0;  188.9;   0.0;  13.5;   0.3
30/09/20;01:00:00;  15.9; 16.8;  15.1;  82.5; 84.7;  81.5;    0.0;    0.0;    0.1;    0.9;  171.4;   0.0;  12.9;   0.3
