,free,tmed,tmax,tmin,hrmed,hrmax,hrmin,radmed,radmax,vvmed,vvmax,dvmed,prec,dewpt,dpv
2020-01-07 00:00:00,,23.7,24.0,23.2,66.8,69.4,64.3,0.0,0.0,0.6,2.2,  195.9,0.0,17.2,1.0
2020-01-07 01:00:00,,23.1,23.4,23.0,69.6,70.2,68.8,0.0,0.0,0.2,1.0,  213.8,0.0,17.3,0.9
2020-01-07 02:00:00,,22.2,23.2,21.5,72.9,74.8,69.7,0.0,0.0,0.1,0.9,  177.2,0.0,17.1,0.7
2020-01-07 03:00:00,,20.8,21.6,20.1,76.8,78.7,73.9,0.0,0.0,0.0,0.5,  179.5,0.0,16.6,0.6
2020-01-07 04:00:00,,20.4,20.8,19.8,74.7,77.4,72.6,1.7,12.9,0.2,1.0,  185.6,0.0,15.7,0.6
2020-01-07 05:00:00,,21.6,24.2,20.2,70.8,76.4,62.4,70.6,148.5,0.1,0.6,  120.7,0.0,16.0,0.8
2020-01-07 06:00:00,,24.3,25.0,23.6,62.0,64.1,59.5,248.4,352.7,0.5,1.4,    2.7,0.0,16.5,1.1
2020-01-07 07:00:00,,26.3,27.6,24.9,54.8,60.3,50.0,460.1,563.3,0.4,1.5,  357.7,0.0,16.5,1.6
2020-01-07 08:00:00,,29.0,30.5,27.4,45.8,51.6,41.2,657.7,743.7,0.6,1.7,   43.8,0.0,16.1,2.2
2020-01-07 09:00:00,,31.8,33.1,30.4,38.7,43.2,34.5,814.4,877.0,0.6,2.0,    3.7,0.0,16.0,2.9
2020-01-07 10:00:00,,34.5,36.4,32.8,31.9,37.6,26.4,927.8,973.0,0.8,2.4,   32.6,0.0,15.3,3.7
2020-01-07 11:00:00,,37.4,39.0,36.1,19.1,28.6,13.4,992.8,1003.0,0.8,2.5,  332.4,0.0,9.6,5.2
2020-01-07 12:00:00,,38.5,39.7,37.3,22.2,27.4,14.1,974.0,997.0,1.3,4.1,  127.1,0.0,12.8,5.3
2020-01-07 13:00:00,,37.7,38.2,37.2,24.8,27.7,21.0,922.8,962.0,2.0,5.5,  182.4,0.0,14.2,4.9
2020-01-07 14:00:00,,37.3,37.8,36.8,25.7,28.2,23.2,820.5,879.0,2.5,6.0,  179.8,0.0,14.4,4.7
